model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
examples/edges/insideSelfLoops.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/edges/insideSelfLoops.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/edges/insideSelfLoops.elkt.json
examples/general/direction.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/direction.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/direction.elkt.json
examples/general/mixingDirection.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/mixingDirection.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/mixingDirection.elkt.json
examples/general/spacing/comments.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/comments.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/comments.elkt.json
examples/general/spacing/components.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/components.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/components.elkt.json
examples/general/spacing/labels.elkt	drift	20	section	children[0]/x: number mismatch (52.0 != 72.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/labels.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/labels.elkt.json
examples/general/spacing/nodesEdges.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/nodesEdges.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/nodesEdges.elkt.json
examples/general/spacing/padding.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/padding.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/padding.elkt.json
examples/general/spacing/ports.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/ports.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/ports.elkt.json
examples/general/spacing/portsSurrounding.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/general/spacing/portsSurrounding.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/general/spacing/portsSurrounding.elkt.json
examples/hierarchy/hierarchicalEdges.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/examples/hierarchy/hierarchicalEdges.elkt.json	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/rust/layout/examples/hierarchy/hierarchicalEdges.elkt.json
