model_rel_path	diff_count	layer_index	java_order	rust_order
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg	20	0	N1,N10,N8	N1,N8,N10
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt	20	0	N1,N10,N8	N1,N8,N10
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	20	0	N9,N10	N10,N9
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	20	0	N9,N10	N10,N9
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	20	4	N2,N8	N8,N2
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkt	20	4	N2,N8	N8,N2
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	20	17	N8,N2,N3	N2,N8,N3
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt	20	17	N8,N2,N3	N2,N8,N3
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg	20	9	N1,N17	N17,N1
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt	20	9	N1,N17	N17,N1
realworld/ptolemy/flattened/ca_conway_Conway.elkg	20	1	N2,N6,N3,N9,N5,N7,N4,N8	N2,N3,N9,N5,N6,N8,N4,N7
realworld/ptolemy/flattened/ca_conway_Conway.elkt	20	1	N2,N6,N3,N9,N5,N7,N4,N8	N2,N3,N9,N5,N6,N8,N4,N7
realworld/ptolemy/flattened/ci_router_dropqueuetest1.elkg	20	8	N15,N1,N6	N6,N1,N15
realworld/ptolemy/flattened/ci_router_dropqueuetest1.elkt	20	8	N15,N1,N6	N6,N1,N15
realworld/ptolemy/flattened/ci_router_queuetest1.elkg	20	3	N7,N1,N12	N12,N1,N7
realworld/ptolemy/flattened/ci_router_queuetest1.elkt	20	3	N7,N1,N12	N12,N1,N7
realworld/ptolemy/flattened/colt_coltrandom_ColtRandom.elkg	20	4	N4,N12,N1,N2	N4,N12,N2,N1
realworld/ptolemy/flattened/colt_coltrandom_ColtRandom.elkt	20	4	N4,N12,N1,N2	N4,N12,N2,N1
realworld/ptolemy/flattened/comm_trellisdecoder_TrellisDecoder.elkg	20	0	N2,N27,N28	N27,N28,N2
realworld/ptolemy/flattened/comm_trellisdecoder_TrellisDecoder.elkt	20	0	N2,N27,N28	N27,N28,N2
realworld/ptolemy/flattened/continuous_levelcrossingdetector_LevelCrossingDetector.elkg	20	5	N6,N5,N1,N4	N6,N5,N4,N1
realworld/ptolemy/flattened/continuous_levelcrossingdetector_LevelCrossingDetector.elkt	20	5	N6,N5,N1,N4	N6,N5,N4,N1
realworld/ptolemy/flattened/continuous_pendulum3d_Pendulum3D.elkg	20	6	N10,N8,N7	N8,N7,N10
realworld/ptolemy/flattened/continuous_pendulum3d_Pendulum3D.elkt	20	6	N10,N8,N7	N8,N7,N10
realworld/ptolemy/flattened/continuous_staticunits_StaticUnits2.elkg	20	0	N3,N5	N5,N3
realworld/ptolemy/flattened/continuous_staticunits_StaticUnits2.elkt	20	0	N3,N5	N5,N3
realworld/ptolemy/flattened/continuous_stickymasses_StickyMasses.elkg	20	1	N4,N2,N5,N6	N2,N6,N5,N4
realworld/ptolemy/flattened/continuous_stickymasses_StickyMasses.elkt	20	1	N4,N2,N5,N6	N2,N6,N5,N4
realworld/ptolemy/flattened/curriculum_curriculum_Curriculum.elkg	20	4	N23,N53,N34,N40,N48,N38,N39,N1,N47,N26,N24,N9,N17,N6,N5	N26,N40,N48,N38,N23,N34,N53,N39,N1,N47,N24,N17,N6,N9,N5
realworld/ptolemy/flattened/curriculum_curriculum_Curriculum.elkt	20	4	N23,N53,N34,N40,N48,N38,N39,N1,N47,N26,N24,N9,N17,N6,N5	N26,N40,N48,N38,N23,N34,N53,N39,N1,N47,N24,N17,N6,N9,N5
