event	index	total	model_rel_path	status	elapsed_ms	note
start	1	1448	examples/edges/insideSelfLoops.elkt	-	0	-
end	1	1448	examples/edges/insideSelfLoops.elkt	ok	4	-
start	2	1448	examples/general/direction.elkt	-	0	-
end	2	1448	examples/general/direction.elkt	ok	2	-
start	3	1448	examples/general/mixingDirection.elkt	-	0	-
end	3	1448	examples/general/mixingDirection.elkt	ok	1	-
start	4	1448	examples/general/spacing/comments.elkt	-	0	-
end	4	1448	examples/general/spacing/comments.elkt	ok	0	-
start	5	1448	examples/general/spacing/components.elkt	-	0	-
end	5	1448	examples/general/spacing/components.elkt	ok	1	-
start	6	1448	examples/general/spacing/labels.elkt	-	0	-
end	6	1448	examples/general/spacing/labels.elkt	ok	0	-
start	7	1448	examples/general/spacing/nodesEdges.elkt	-	0	-
end	7	1448	examples/general/spacing/nodesEdges.elkt	ok	1	-
start	8	1448	examples/general/spacing/padding.elkt	-	0	-
end	8	1448	examples/general/spacing/padding.elkt	ok	2	-
start	9	1448	examples/general/spacing/ports.elkt	-	0	-
end	9	1448	examples/general/spacing/ports.elkt	ok	2	-
start	10	1448	examples/general/spacing/portsSurrounding.elkt	-	0	-
end	10	1448	examples/general/spacing/portsSurrounding.elkt	ok	0	-
start	11	1448	examples/hierarchy/hierarchicalEdges.elkt	-	0	-
end	11	1448	examples/hierarchy/hierarchicalEdges.elkt	ok	1	-
start	12	1448	examples/hierarchy/hierarchicalLayoutMixing.elkt	-	0	-
end	12	1448	examples/hierarchy/hierarchicalLayoutMixing.elkt	ok	2	-
start	13	1448	examples/labels/nodeLabelPlacement.elkt	-	0	-
end	13	1448	examples/labels/nodeLabelPlacement.elkt	ok	1	-
start	14	1448	examples/labels/portLabelsMulti.elkt	-	0	-
end	14	1448	examples/labels/portLabelsMulti.elkt	ok	0	-
start	15	1448	examples/ports/allowNonFlowPortsToSwitchSides.elkt	-	0	-
end	15	1448	examples/ports/allowNonFlowPortsToSwitchSides.elkt	ok	1	-
start	16	1448	examples/ports/portConstraints.elkt	-	0	-
end	16	1448	examples/ports/portConstraints.elkt	ok	2	-
start	17	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle.elkt	-	0	-
end	17	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle.elkt	ok	1	-
start	18	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle_pseudo_positions.elkt	-	0	-
end	18	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle_pseudo_positions.elkt	ok	0	-
start	19	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy.elkt	-	0	-
end	19	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy.elkt	ok	1	-
start	20	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection.elkt	-	0	-
end	20	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection.elkt	ok	2	-
start	21	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection_pseudo_positions.elkt	-	0	-
end	21	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection_pseudo_positions.elkt	ok	2	-
start	22	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy_pseudo_positions.elkt	-	0	-
end	22	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy_pseudo_positions.elkt	ok	1	-
start	23	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor.elkt	-	0	-
end	23	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor.elkt	ok	1	-
start	24	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor_pseudo_positions.elkt	-	0	-
end	24	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor_pseudo_positions.elkt	ok	1	-
start	25	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes.elkt	-	0	-
end	25	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes.elkt	ok	0	-
start	26	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes_pseudo_positions.elkt	-	0	-
end	26	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes_pseudo_positions.elkt	ok	0	-
start	27	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents.elkt	-	0	-
end	27	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents.elkt	ok	0	-
start	28	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents_pseudo_positions.elkt	-	0	-
end	28	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents_pseudo_positions.elkt	ok	0	-
start	29	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest.elkt	-	0	-
end	29	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest.elkt	ok	0	-
start	30	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest_pseudo_positions.elkt	-	0	-
end	30	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest_pseudo_positions.elkt	ok	0	-
start	31	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake.elkt	-	0	-
end	31	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake.elkt	ok	1	-
start	32	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake_pseudo_positions.elkt	-	0	-
end	32	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake_pseudo_positions.elkt	ok	2	-
start	33	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask.elkt	-	0	-
end	33	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask.elkt	ok	1	-
start	34	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask_pseudo_positions.elkt	-	0	-
end	34	1448	examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask_pseudo_positions.elkt	ok	1	-
start	35	1448	examples/user-hints/interactive-constraints/interactiveLayereredLayout_layerConstraint.elkt	-	0	-
end	35	1448	examples/user-hints/interactive-constraints/interactiveLayereredLayout_layerConstraint.elkt	ok	0	-
start	36	1448	examples/user-hints/interactive-constraints/interactiveLayout_mixedHierarchy.elkt	-	0	-
end	36	1448	examples/user-hints/interactive-constraints/interactiveLayout_mixedHierarchy.elkt	ok	0	-
start	37	1448	examples/user-hints/interactive-constraints/interactiveRectpacking_hierarchy.elkt	-	0	-
end	37	1448	examples/user-hints/interactive-constraints/interactiveRectpacking_hierarchy.elkt	ok	0	-
start	38	1448	examples/user-hints/interactive-constraints/interactiveRectpacking_oneBigNode.elkt	-	0	-
end	38	1448	examples/user-hints/interactive-constraints/interactiveRectpacking_oneBigNode.elkt	ok	0	-
start	39	1448	examples/user-hints/layered/horizontalOrder.elkt	-	0	-
end	39	1448	examples/user-hints/layered/horizontalOrder.elkt	ok	2	-
start	40	1448	examples/user-hints/layered/partitioning.elkt	-	0	-
end	40	1448	examples/user-hints/layered/partitioning.elkt	ok	6	-
start	41	1448	examples/user-hints/layered/reverseEdge.elkt	-	0	-
end	41	1448	examples/user-hints/layered/reverseEdge.elkt	ok	1	-
start	42	1448	examples/user-hints/layered/verticalOrder.elkt	-	0	-
end	42	1448	examples/user-hints/layered/verticalOrder.elkt	ok	2	-
start	43	1448	examples/user-hints/model-order/modelOrderCrossingMinimization.elkt	-	0	-
end	43	1448	examples/user-hints/model-order/modelOrderCrossingMinimization.elkt	ok	12	-
start	44	1448	examples/user-hints/model-order/modelOrderCycleBreaking.elkt	-	0	-
end	44	1448	examples/user-hints/model-order/modelOrderCycleBreaking.elkt	ok	5	-
start	45	1448	examples/user-hints/model-order/modelOrderNoCrossingMin.elkt	-	0	-
