model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
examples/edges/insideSelfLoops.elkt	drift	18	section	children[0]/y: number mismatch (22.0 != 12.0)	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/edges/insideSelfLoops.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/edges/insideSelfLoops.elkt.json
examples/general/direction.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/direction.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/direction.elkt.json
examples/general/mixingDirection.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/mixingDirection.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/mixingDirection.elkt.json
examples/general/spacing/comments.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/comments.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/comments.elkt.json
examples/general/spacing/components.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/components.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/components.elkt.json
examples/general/spacing/labels.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/labels.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/labels.elkt.json
examples/general/spacing/nodesEdges.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/nodesEdges.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/nodesEdges.elkt.json
examples/general/spacing/padding.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/padding.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/padding.elkt.json
examples/general/spacing/ports.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/ports.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/ports.elkt.json
examples/general/spacing/portsSurrounding.elkt	match	0			/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/java/layout/examples/general/spacing/portsSurrounding.elkt.json	/Users/cody.ij.hwang/Projects/research/ip-integrator/elk-rs/perf/model_parity_examples/rust/layout/examples/general/spacing/portsSurrounding.elkt.json
