model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
examples/edges/insideSelfLoops.elkt	drift	18	section	children[0]/y: number mismatch (22.0 != 12.0)	perf/model_parity_full/java/layout/examples/edges/insideSelfLoops.elkt.json	perf/model_parity_full/rust/examples/edges/insideSelfLoops.elkt.json
examples/general/direction.elkt	match	0			perf/model_parity_full/java/layout/examples/general/direction.elkt.json	perf/model_parity_full/rust/examples/general/direction.elkt.json
examples/general/mixingDirection.elkt	match	0			perf/model_parity_full/java/layout/examples/general/mixingDirection.elkt.json	perf/model_parity_full/rust/examples/general/mixingDirection.elkt.json
examples/general/spacing/comments.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/comments.elkt.json	perf/model_parity_full/rust/examples/general/spacing/comments.elkt.json
examples/general/spacing/components.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/components.elkt.json	perf/model_parity_full/rust/examples/general/spacing/components.elkt.json
examples/general/spacing/labels.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/labels.elkt.json	perf/model_parity_full/rust/examples/general/spacing/labels.elkt.json
examples/general/spacing/nodesEdges.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/nodesEdges.elkt.json	perf/model_parity_full/rust/examples/general/spacing/nodesEdges.elkt.json
examples/general/spacing/padding.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/padding.elkt.json	perf/model_parity_full/rust/examples/general/spacing/padding.elkt.json
examples/general/spacing/ports.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/ports.elkt.json	perf/model_parity_full/rust/examples/general/spacing/ports.elkt.json
examples/general/spacing/portsSurrounding.elkt	match	0			perf/model_parity_full/java/layout/examples/general/spacing/portsSurrounding.elkt.json	perf/model_parity_full/rust/examples/general/spacing/portsSurrounding.elkt.json
examples/hierarchy/hierarchicalEdges.elkt	drift	9	coordinate	children[0]/children[0]/x: number mismatch (17.0 != 12.0)	perf/model_parity_full/java/layout/examples/hierarchy/hierarchicalEdges.elkt.json	perf/model_parity_full/rust/examples/hierarchy/hierarchicalEdges.elkt.json
examples/hierarchy/hierarchicalLayoutMixing.elkt	drift	20	coordinate	children[0]/children[0]/x: number mismatch (17.0 != 22.558860981188595)	perf/model_parity_full/java/layout/examples/hierarchy/hierarchicalLayoutMixing.elkt.json	perf/model_parity_full/rust/examples/hierarchy/hierarchicalLayoutMixing.elkt.json
examples/labels/nodeLabelPlacement.elkt	match	0			perf/model_parity_full/java/layout/examples/labels/nodeLabelPlacement.elkt.json	perf/model_parity_full/rust/examples/labels/nodeLabelPlacement.elkt.json
examples/labels/portLabelsMulti.elkt	match	0			perf/model_parity_full/java/layout/examples/labels/portLabelsMulti.elkt.json	perf/model_parity_full/rust/examples/labels/portLabelsMulti.elkt.json
examples/ports/allowNonFlowPortsToSwitchSides.elkt	match	0			perf/model_parity_full/java/layout/examples/ports/allowNonFlowPortsToSwitchSides.elkt.json	perf/model_parity_full/rust/examples/ports/allowNonFlowPortsToSwitchSides.elkt.json
examples/ports/portConstraints.elkt	match	0			perf/model_parity_full/java/layout/examples/ports/portConstraints.elkt.json	perf/model_parity_full/rust/examples/ports/portConstraints.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle_pseudo_positions.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_circle_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection_pseudo_positions.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchyDirection_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy_pseudo_positions.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_hierarchy_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor.elkt	drift	20	section	children[0]/y: number mismatch (43.0 != 12.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor_pseudo_positions.elkt	drift	20	section	children[0]/y: number mismatch (23.0 != 34.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_motor_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes_pseudo_positions.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_nodeSizes_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents_pseudo_positions.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_separateComponents_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest.elkt	drift	18	section	children[0]/x: number mismatch (52.0 != 62.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest_pseudo_positions.elkt	drift	18	section	children[0]/x: number mismatch (52.0 != 62.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_simpleDirectionTest_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake_pseudo_positions.elkt	drift	8	section	children[1]/y: number mismatch (98.0 != 87.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_snake_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask.elkt.json
examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask_pseudo_positions.elkt	drift	14	section	children[2]/y: number mismatch (53.0 != 52.0)	perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask_pseudo_positions.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayeredLayout_sortingTask_pseudo_positions.elkt.json
examples/user-hints/interactive-constraints/interactiveLayereredLayout_layerConstraint.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayereredLayout_layerConstraint.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayereredLayout_layerConstraint.elkt.json
examples/user-hints/interactive-constraints/interactiveLayout_mixedHierarchy.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveLayout_mixedHierarchy.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveLayout_mixedHierarchy.elkt.json
examples/user-hints/interactive-constraints/interactiveRectpacking_hierarchy.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveRectpacking_hierarchy.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveRectpacking_hierarchy.elkt.json
examples/user-hints/interactive-constraints/interactiveRectpacking_oneBigNode.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/interactive-constraints/interactiveRectpacking_oneBigNode.elkt.json	perf/model_parity_full/rust/examples/user-hints/interactive-constraints/interactiveRectpacking_oneBigNode.elkt.json
examples/user-hints/layered/horizontalOrder.elkt	drift	13	coordinate	children[1]/y: number mismatch (151.0 != 140.0)	perf/model_parity_full/java/layout/examples/user-hints/layered/horizontalOrder.elkt.json	perf/model_parity_full/rust/examples/user-hints/layered/horizontalOrder.elkt.json
examples/user-hints/layered/partitioning.elkt	drift	20	section	children[0]/children[1]/x: number mismatch (178.0 != 90.0)	perf/model_parity_full/java/layout/examples/user-hints/layered/partitioning.elkt.json	perf/model_parity_full/rust/examples/user-hints/layered/partitioning.elkt.json
examples/user-hints/layered/reverseEdge.elkt	match	0			perf/model_parity_full/java/layout/examples/user-hints/layered/reverseEdge.elkt.json	perf/model_parity_full/rust/examples/user-hints/layered/reverseEdge.elkt.json
examples/user-hints/layered/verticalOrder.elkt	drift	9	coordinate	children[1]/children[1]/y: number mismatch (52.0 != 32.0)	perf/model_parity_full/java/layout/examples/user-hints/layered/verticalOrder.elkt.json	perf/model_parity_full/rust/examples/user-hints/layered/verticalOrder.elkt.json
examples/user-hints/model-order/modelOrderCrossingMinimization.elkt	drift	20	label	children[0]/children[1]/x: number mismatch (82.0 != 62.0)	perf/model_parity_full/java/layout/examples/user-hints/model-order/modelOrderCrossingMinimization.elkt.json	perf/model_parity_full/rust/examples/user-hints/model-order/modelOrderCrossingMinimization.elkt.json
examples/user-hints/model-order/modelOrderCycleBreaking.elkt	drift	20	section	children[0]/children[0]/y: number mismatch (23.0 != 12.0)	perf/model_parity_full/java/layout/examples/user-hints/model-order/modelOrderCycleBreaking.elkt.json	perf/model_parity_full/rust/examples/user-hints/model-order/modelOrderCycleBreaking.elkt.json
examples/user-hints/model-order/modelOrderNoCrossingMin.elkt	drift	2	ordering	edges[2]/sections[0]/bendPoints: array length mismatch (2 != 4)	perf/model_parity_full/java/layout/examples/user-hints/model-order/modelOrderNoCrossingMin.elkt.json	perf/model_parity_full/rust/examples/user-hints/model-order/modelOrderNoCrossingMin.elkt.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg	drift	20	coordinate	children[0]/y: number mismatch (32.0 != 42.0)	perf/model_parity_full/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json	perf/model_parity_full/rust/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt	drift	20	coordinate	children[0]/y: number mismatch (32.0 != 42.0)	perf/model_parity_full/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json	perf/model_parity_full/rust/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json
