model_rel_path	diff_count	layer_index	java_order	rust_order
examples/ports/portConstraints.elkt	20	0	freePorts,fixedPosition,fixedSide	freePorts,fixedSide,fixedPosition
realworld/ptolemy/hierarchical/ptango_eplus70actuator_EPlus70Actuator.elkg	20	1	N36,N27,N45,N54,N63	N54,N36,N45,N27,N63
realworld/ptolemy/hierarchical/ptango_eplus70actuator_EPlus70Actuator.elkt	20	1	N36,N27,N45,N54,N63	N54,N36,N45,N27,N63
realworld/ptolemy/hierarchical/pthales_dynamic_ThalesDynamicModalModelPN.elkg	20	1	N14,N12,N1,N13	N13,N14,N1,N12
realworld/ptolemy/hierarchical/pthales_dynamic_ThalesDynamicModalModelPN.elkt	20	1	N14,N12,N1,N13	N13,N14,N1,N12
realworld/ptolemy/hierarchical/ptides_trex_TREXNoNetworkAllDigital.elkg	20	4	N1,N82	N82,N1
realworld/ptolemy/hierarchical/ptides_trex_TREXNoNetworkAllDigital.elkg	20	7	N133,N89,N46,N91	N91,N133,N89,N46
realworld/ptolemy/hierarchical/ptides_trex_TREXNoNetworkAllDigital.elkt	20	4	N1,N82	N82,N1
realworld/ptolemy/hierarchical/ptides_trex_TREXNoNetworkAllDigital.elkt	20	7	N133,N89,N46,N91	N91,N133,N89,N46
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkg	20	0	N1,N2,N4,N3	N3,N1,N2,N4
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkg	20	4	N21,N27,N22,N28,N29,N23	N21,N27,N29,N23,N22,N28
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkg	20	2	N25,N26	N26,N25
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkt	20	0	N1,N2,N4,N3	N3,N1,N2,N4
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkt	20	4	N21,N27,N22,N28,N29,N23	N21,N27,N29,N23,N22,N28
realworld/ptolemy/hierarchical/ptides_trex_TREXPtidesMulticoreDirector.elkt	20	2	N25,N26	N26,N25
realworld/ptolemy/hierarchical/ptides_tte_TTE.elkg	20	9	N78,N83	N83,N78
