model_rel_path	diff_count	layer_index	java_order	rust_order
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg	20	0	N1,N10,N8	N10,N8,N1
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt	20	0	N1,N10,N8	N10,N8,N1
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	20	0	N9,N10	N10,N9
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	20	0	N9,N10	N10,N9
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	20	2	N9,N7	N7,N9
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkt	20	2	N9,N7	N7,N9
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	20	10	N21,N1	N1,N21
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt	20	10	N21,N1	N1,N21
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg	20	6	N18,N23,N14	N14,N18,N23
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt	20	6	N18,N23,N14	N14,N18,N23
realworld/ptolemy/flattened/ca_conway_Conway.elkg	20	1	N2,N6,N3,N9,N5,N7,N4,N8	N9,N8,N5,N2,N4,N3,N7,N6
realworld/ptolemy/flattened/ca_conway_Conway.elkt	20	1	N2,N6,N3,N9,N5,N7,N4,N8	N9,N8,N5,N2,N4,N3,N7,N6
realworld/ptolemy/flattened/ci_router_dropqueuetest1.elkg	20	8	N15,N1,N6	N1,N15,N6
realworld/ptolemy/flattened/ci_router_dropqueuetest1.elkt	20	8	N15,N1,N6	N1,N15,N6
realworld/ptolemy/flattened/colt_coltrandom_ColtRandom.elkg	20	6	N7,N16,N33,N37,N3	N7,N16,N37,N33,N3
realworld/ptolemy/flattened/colt_coltrandom_ColtRandom.elkt	20	6	N7,N16,N33,N37,N3	N7,N16,N37,N33,N3
