model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg	drift	20	coordinate	children[5]/x: number mismatch (251.0 != 513.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkg.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt	drift	20	coordinate	children[5]/x: number mismatch (251.0 != 513.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTank.elkt.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg	drift	20	coordinate	children[0]/y: number mismatch (96.5 != 358.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkg.json
realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt	drift	20	coordinate	children[0]/y: number mismatch (96.5 != 358.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_heateropentank_HeaterOpenTankRefactored.elkt.json
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg	drift	20	coordinate	children[0]/x: number mismatch (653.0 != 610.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkg.json
realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt	drift	20	coordinate	children[0]/x: number mismatch (653.0 != 610.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/algebraic_rlc_RLC.elkt.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg	drift	20	coordinate	children[0]/x: number mismatch (1343.0 != 563.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkg.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt	drift	20	coordinate	children[0]/x: number mismatch (1343.0 != 563.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModeling.elkt.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg	drift	20	coordinate	children[0]/x: number mismatch (1559.0 != 1629.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkg.json
realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt	drift	20	coordinate	children[0]/x: number mismatch (1559.0 != 1629.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_cartrackingattackmodeling_CarTrackingAttackModelingAllAttacksInOneModel.elkt.json
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg	drift	20	coordinate	children[1]/y: number mismatch (359.5 != 278.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkg.json
realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt	drift	20	coordinate	children[1]/y: number mismatch (359.5 != 278.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_compositeqm_CheckExecutionTimeConstraints.elkt.json
realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkg	drift	19	section	children[0]/y: number mismatch (228.00000000000003 != 263.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkg.json
realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkt	drift	19	section	children[0]/y: number mismatch (228.00000000000003 != 263.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_compositeqm_CompositeQM.elkt.json
realworld/ptolemy/flattened/aspect_de_DE2.elkg	drift	8	structure	children[19]/y: number mismatch (376.5 != 296.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_de_DE2.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_de_DE2.elkg.json
realworld/ptolemy/flattened/aspect_de_DE2.elkt	drift	8	structure	children[19]/y: number mismatch (376.5 != 296.5)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/aspect_de_DE2.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/aspect_de_DE2.elkt.json
realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg	drift	20	coordinate	children[0]/x: number mismatch (1170.0 != 206.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkg.json
realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt	drift	20	coordinate	children[0]/x: number mismatch (1170.0 != 206.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/backtrack_primetest_PrimeTest.elkt.json
realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg	drift	20	coordinate	children[0]/y: number mismatch (46.0 != 32.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/java/layout/realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg.json	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_realworld/rust/layout/realworld/ptolemy/flattened/backtrack_ramprollback_RampRollback.elkg.json
