model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	drift	20	section	children[0]/y: number mismatch (437.6666666666667 != 427.6666666666667)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt	drift	20	section	children[0]/y: number mismatch (437.6666666666667 != 427.6666666666667)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg	drift	20	coordinate	children[0]/y: number mismatch (51.5 != 42.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt	drift	20	coordinate	children[0]/y: number mismatch (51.5 != 42.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt.json
realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg	drift	20	coordinate	children[0]/y: number mismatch (989.8333333333335 != 982.3333333333335)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg.json
realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt	drift	20	coordinate	children[0]/y: number mismatch (989.8333333333335 != 982.3333333333335)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg	drift	20	coordinate	children[1]/y: number mismatch (182.5 != 172.5)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt	drift	20	coordinate	children[1]/y: number mismatch (182.5 != 172.5)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg	drift	2	section	edges[11]/sections[0]/bendPoints[1]/y: number mismatch (152.5 != 232.5)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt	drift	2	section	edges[11]/sections[0]/bendPoints[1]/y: number mismatch (152.5 != 232.5)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt.json
realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg	drift	12	section	children[3]/y: number mismatch (392.0 != 382.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg.json
realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt	drift	12	section	children[3]/y: number mismatch (392.0 != 382.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity/java/layout/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt.json	perf/model_parity_step47_regressions/rust_run2/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt.json
