model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkg.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModule.elkt.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkg.json
realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/backtrack_trialmodule_TrialModuleNonBacktrack.elkt.json
realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg	drift	20	coordinate	children[0]/y: number mismatch (989.8333333333335 != 982.3333333333335)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkg.json
realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt	drift	20	coordinate	children[0]/y: number mismatch (989.8333333333335 != 982.3333333333335)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/de_printingpress_PrintingPress-Validation.elkt.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkg.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWash.elkt.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkg.json
realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_adaptivecarwash_AdaptiveCarWashFSM.elkt.json
realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkg.json
realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_simultaneouscarwash_SimultaneousCarWash.elkt.json
realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkg.json
realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptera_trafficlight_TrafficLight.elkt.json
realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkg	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkg.json
realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkt	match	0			/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptides_multiplatformtdma_MultiPlatformTDMA.elkt.json
realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkg	drift	20	coordinate	children[1]/y: number mismatch (1950.6666666666665 != 1943.1666666666665)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkg.json
realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkt	drift	20	coordinate	children[1]/y: number mismatch (1950.6666666666665 != 1943.1666666666665)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkt.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptides_printingpress_PrintingPress.elkt.json
realworld/ptolemy/flattened/ptides_trex_TREX.elkg	drift	20	coordinate	children[2]/y: number mismatch (42.0 != 32.0)	/Users/luuvish/Projects/research/elk-rs/perf/model_parity_step49_java_a/layout/realworld/ptolemy/flattened/ptides_trex_TREX.elkg.json	perf/model_parity_step49_rust_vs_java_subset/rust/realworld/ptolemy/flattened/ptides_trex_TREX.elkg.json
