event	index	total	model_rel_path	status	elapsed_ms	note
start	1	25	examples/user-hints/layered/verticalOrder.elkt	-	0	-
end	1	25	examples/user-hints/layered/verticalOrder.elkt	ok	3	-
start	2	25	tests/layered/compaction_oned/selfloop/selfloop_spline.elkt	-	0	-
end	2	25	tests/layered/compaction_oned/selfloop/selfloop_spline.elkt	ok	1	-
start	3	25	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	-	0	-
end	3	25	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	ok	1	-
start	4	25	tests/layered/node_label_placement/outside_placement_hpriority.elkt	-	0	-
end	4	25	tests/layered/node_label_placement/outside_placement_hpriority.elkt	ok	0	-
start	5	25	tickets/layered/734_nodeEdgeSpacingHierarchical.elkt	-	0	-
end	5	25	tickets/layered/734_nodeEdgeSpacingHierarchical.elkt	ok	1	-
start	6	25	tests/layered/self_loops/inside_outside.elkt	-	0	-
end	6	25	tests/layered/self_loops/inside_outside.elkt	ok	0	-
start	7	25	tickets/layered/368_selfLoopLabelsIOOBE.elkt	-	0	-
end	7	25	tickets/layered/368_selfLoopLabelsIOOBE.elkt	ok	0	-
start	8	25	tickets/layered/360_badSelfLoopLabelPlacement.elkt	-	0	-
end	8	25	tickets/layered/360_badSelfLoopLabelPlacement.elkt	ok	0	-
start	9	25	tickets/layered/298_selfLoopsCauseAIOOBE.elkt	-	0	-
end	9	25	tickets/layered/298_selfLoopsCauseAIOOBE.elkt	ok	0	-
start	10	25	tickets/layered/297_sameSideInsideSelfLoop.elkt	-	0	-
end	10	25	tickets/layered/297_sameSideInsideSelfLoop.elkt	ok	0	-
start	11	25	tests/layered/compaction_oned/labels/edgeLabelAndSplines.elkt	-	0	-
end	11	25	tests/layered/compaction_oned/labels/edgeLabelAndSplines.elkt	ok	0	-
start	12	25	realworld/ptolemy/hierarchical/continuous_cartpendulum_CartPendulum.elkg	-	0	-
end	12	25	realworld/ptolemy/hierarchical/continuous_cartpendulum_CartPendulum.elkg	ok	2	-
start	13	25	realworld/ptolemy/hierarchical/continuous_cartpendulum_CartPendulum.elkt	-	0	-
end	13	25	realworld/ptolemy/hierarchical/continuous_cartpendulum_CartPendulum.elkt	ok	2	-
start	14	25	realworld/ptolemy/hierarchical/continuous_pendulum3d_Pendulum3D.elkg	-	0	-
end	14	25	realworld/ptolemy/hierarchical/continuous_pendulum3d_Pendulum3D.elkg	ok	2	-
start	15	25	realworld/ptolemy/hierarchical/continuous_pendulum3d_Pendulum3D.elkt	-	0	-
end	15	25	realworld/ptolemy/hierarchical/continuous_pendulum3d_Pendulum3D.elkt	ok	2	-
start	16	25	realworld/ptolemy/hierarchical/ptolemy_execdemos_demos_hyvisualdemos_Pendulum3D.elkg	-	0	-
end	16	25	realworld/ptolemy/hierarchical/ptolemy_execdemos_demos_hyvisualdemos_Pendulum3D.elkg	ok	2	-
start	17	25	realworld/ptolemy/hierarchical/ptolemy_execdemos_demos_hyvisualdemos_Pendulum3D.elkt	-	0	-
end	17	25	realworld/ptolemy/hierarchical/ptolemy_execdemos_demos_hyvisualdemos_Pendulum3D.elkt	ok	2	-
start	18	25	examples/edges/insideSelfLoops.elkt	-	0	-
end	18	25	examples/edges/insideSelfLoops.elkt	ok	0	-
start	19	25	realworld/ptolemy/flattened/ptolemy_brewery_Brewery.elkg	-	0	-
end	19	25	realworld/ptolemy/flattened/ptolemy_brewery_Brewery.elkg	ok	4	-
start	20	25	realworld/ptolemy/flattened/ptolemy_brewery_Brewery.elkt	-	0	-
end	20	25	realworld/ptolemy/flattened/ptolemy_brewery_Brewery.elkt	ok	4	-
start	21	25	tickets/core/299_surroundingPortSpace.elkt	-	0	-
end	21	25	tickets/core/299_surroundingPortSpace.elkt	ok	0	-
start	22	25	realworld/ptolemy/hierarchical/ptolemy_brewery_Brewery.elkg	-	0	-
end	22	25	realworld/ptolemy/hierarchical/ptolemy_brewery_Brewery.elkg	ok	4	-
start	23	25	realworld/ptolemy/hierarchical/ptolemy_brewery_Brewery.elkt	-	0	-
end	23	25	realworld/ptolemy/hierarchical/ptolemy_brewery_Brewery.elkt	ok	4	-
start	24	25	realworld/ptolemy/hierarchical/ptolemy_brewery_BreweryWireless.elkg	-	0	-
end	24	25	realworld/ptolemy/hierarchical/ptolemy_brewery_BreweryWireless.elkg	ok	3	-
start	25	25	realworld/ptolemy/hierarchical/ptolemy_brewery_BreweryWireless.elkt	-	0	-
end	25	25	realworld/ptolemy/hierarchical/ptolemy_brewery_BreweryWireless.elkt	ok	3	-
