event	index	total	model_rel_path	status	elapsed_ms	note
start	1	10	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	-	0	-
end	1	10	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	ok	8	-
start	2	10	tickets/layered/213_componentsCompaction.elkt	-	0	-
end	2	10	tickets/layered/213_componentsCompaction.elkt	ok	20	-
start	3	10	tickets/layered/302_brokenSplineSelfLoops.elkt	-	0	-
end	3	10	tickets/layered/302_brokenSplineSelfLoops.elkt	ok	1	-
start	4	10	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	-	0	-
end	4	10	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	ok	8	-
start	5	10	tickets/layered/368_selfLoopLabelsIOOBE.elkt	-	0	-
end	5	10	tickets/layered/368_selfLoopLabelsIOOBE.elkt	ok	1	-
start	6	10	tickets/layered/425_selfLoopInCompoundNode.elkt	-	0	-
end	6	10	tickets/layered/425_selfLoopInCompoundNode.elkt	ok	3	-
start	7	10	tickets/layered/453_interactiveProblems.elkt	-	0	-
end	7	10	tickets/layered/453_interactiveProblems.elkt	ok	3	-
start	8	10	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	8	10	tickets/layered/502_collapsingCompoundNode.elkt	ok	4	-
start	9	10	tickets/layered/665_includeChildrenDoesntStop.elkt	-	0	-
end	9	10	tickets/layered/665_includeChildrenDoesntStop.elkt	ok	3	-
start	10	10	tickets/layered/701_portLabels.elkt	-	0	-
end	10	10	tickets/layered/701_portLabels.elkt	ok	27	-
