event	index	total	model_rel_path	status	elapsed_ms	note
start	1	5	tickets/core/056_portLabelPlacement.elkt	-	0	-
end	1	5	tickets/core/056_portLabelPlacement.elkt	ok	3	-
start	2	5	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	-	0	-
end	2	5	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	ok	2	-
start	3	5	tickets/layered/405_differentPortLabelPositionsTwoWestOutsideNextToPort.elkt	-	0	-
end	3	5	tickets/layered/405_differentPortLabelPositionsTwoWestOutsideNextToPort.elkt	ok	5	-
start	4	5	tickets/layered/515_polylineOverNodeIncOut.elkt	-	0	-
end	4	5	tickets/layered/515_polylineOverNodeIncOut.elkt	ok	2	-
start	5	5	tickets/layered/515_polylineOverNodeOutgoing.elkt	-	0	-
end	5	5	tickets/layered/515_polylineOverNodeOutgoing.elkt	ok	1	-
