event	index	total	model_rel_path	status	elapsed_ms	note
start	1	5	tickets/layered/425_selfLoopInCompoundNode.elkt	-	0	-
end	1	5	tickets/layered/425_selfLoopInCompoundNode.elkt	ok	7	-
start	2	5	tickets/layered/453_interactiveProblems.elkt	-	0	-
end	2	5	tickets/layered/453_interactiveProblems.elkt	ok	4	-
start	3	5	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	3	5	tickets/layered/502_collapsingCompoundNode.elkt	ok	6	-
start	4	5	tickets/layered/665_includeChildrenDoesntStop.elkt	-	0	-
end	4	5	tickets/layered/665_includeChildrenDoesntStop.elkt	ok	4	-
start	5	5	tickets/layered/701_portLabels.elkt	-	0	-
end	5	5	tickets/layered/701_portLabels.elkt	ok	30	-
