model_rel_path	status	diff_count	top_category	first_diff	java_layout_json	rust_layout_json
tickets/core/299_surroundingPortSpace.elkt	match	0			/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/core/299_surroundingPortSpace.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/core/299_surroundingPortSpace.elkt.json
tickets/core/491_portSpacing.elkt	match	0			/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/core/491_portSpacing.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/core/491_portSpacing.elkt.json
tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	match	0			/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/core/562_insideSelfLoopAlgorithmResolving.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/core/562_insideSelfLoopAlgorithmResolving.elkt.json
tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	match	0			/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt.json
tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	match	0			/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt.json
tickets/layered/213_componentsCompaction.elkt	drift	20	coordinate	children[0]/children[0]/x: number mismatch (12.5 != 12.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/213_componentsCompaction.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/213_componentsCompaction.elkt.json
tickets/layered/302_brokenSplineSelfLoops.elkt	drift	20	section	children[0]/y: number mismatch (12.0 != 23.333333333333336)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/302_brokenSplineSelfLoops.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/302_brokenSplineSelfLoops.elkt.json
tickets/layered/352_selfLoopNPEorAIOOBE.elkt	drift	6	section	edges[4]/sections[0]/bendPoints[0]/y: number mismatch (64.0 != 118.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/352_selfLoopNPEorAIOOBE.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/352_selfLoopNPEorAIOOBE.elkt.json
tickets/layered/368_selfLoopLabelsIOOBE.elkt	drift	8	section	children[0]/x: number mismatch (22.0 != 12.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/368_selfLoopLabelsIOOBE.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/368_selfLoopLabelsIOOBE.elkt.json
tickets/layered/425_selfLoopInCompoundNode.elkt	drift	8	section	children[0]/children[0]/edges[0]/sections[0]/bendPoints[0]/x: number mismatch (15.0 != 8.333333333333332)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/425_selfLoopInCompoundNode.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/425_selfLoopInCompoundNode.elkt.json
tickets/layered/453_interactiveProblems.elkt	drift	16	coordinate	children[0]/height: number mismatch (61.0 != 45.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/453_interactiveProblems.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/453_interactiveProblems.elkt.json
tickets/layered/502_collapsingCompoundNode.elkt	drift	7	coordinate	children[0]/edges[0]/sections[0]/startPoint/y: number mismatch (4.0 != 24.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/502_collapsingCompoundNode.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/502_collapsingCompoundNode.elkt.json
tickets/layered/665_includeChildrenDoesntStop.elkt	drift	15	coordinate	children[0]/children[0]/children[0]/x: number mismatch (149.4242331510003 != 12.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/665_includeChildrenDoesntStop.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/665_includeChildrenDoesntStop.elkt.json
tickets/layered/701_portLabels.elkt	drift	20	coordinate	children[0]/children[0]/children[0]/height: number mismatch (52.0 != 44.0)	/Users/cody.ij.hwang/Projects/github/elk-rs/perf/model_parity_tickets/java/layout/tickets/layered/701_portLabels.elkt.json	perf/model_parity_step52_smoke/rust/layout/tickets/layered/701_portLabels.elkt.json
