event	index	total	model_rel_path	status	elapsed_ms	note
start	1	14	tickets/core/299_surroundingPortSpace.elkt	-	0	-
end	1	14	tickets/core/299_surroundingPortSpace.elkt	ok	5	-
start	2	14	tickets/core/491_portSpacing.elkt	-	0	-
end	2	14	tickets/core/491_portSpacing.elkt	ok	3	-
start	3	14	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	-	0	-
end	3	14	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	ok	1	-
start	4	14	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	-	0	-
end	4	14	tickets/layered/167_insidePortLabelsInHierarchicalGraphs.elkt	ok	3	-
start	5	14	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	-	0	-
end	5	14	tickets/layered/182_minNodeSizeForHierarchicalNodes.elkt	ok	1	-
start	6	14	tickets/layered/213_componentsCompaction.elkt	-	0	-
end	6	14	tickets/layered/213_componentsCompaction.elkt	ok	12	-
start	7	14	tickets/layered/302_brokenSplineSelfLoops.elkt	-	0	-
end	7	14	tickets/layered/302_brokenSplineSelfLoops.elkt	ok	1	-
start	8	14	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	-	0	-
end	8	14	tickets/layered/352_selfLoopNPEorAIOOBE.elkt	ok	7	-
start	9	14	tickets/layered/368_selfLoopLabelsIOOBE.elkt	-	0	-
end	9	14	tickets/layered/368_selfLoopLabelsIOOBE.elkt	ok	1	-
start	10	14	tickets/layered/425_selfLoopInCompoundNode.elkt	-	0	-
end	10	14	tickets/layered/425_selfLoopInCompoundNode.elkt	ok	2	-
start	11	14	tickets/layered/453_interactiveProblems.elkt	-	0	-
end	11	14	tickets/layered/453_interactiveProblems.elkt	ok	2	-
start	12	14	tickets/layered/502_collapsingCompoundNode.elkt	-	0	-
end	12	14	tickets/layered/502_collapsingCompoundNode.elkt	ok	4	-
start	13	14	tickets/layered/665_includeChildrenDoesntStop.elkt	-	0	-
end	13	14	tickets/layered/665_includeChildrenDoesntStop.elkt	ok	3	-
start	14	14	tickets/layered/701_portLabels.elkt	-	0	-
end	14	14	tickets/layered/701_portLabels.elkt	ok	27	-
