event	index	total	model_rel_path	status	elapsed_ms	note
start	1	110	tickets/core/056_portLabelPlacement.elkt	-	0	-
end	1	110	tickets/core/056_portLabelPlacement.elkt	ok	3	-
start	2	110	tickets/core/245_surroundingPortSpace.elkt	-	0	-
end	2	110	tickets/core/245_surroundingPortSpace.elkt	ok	0	-
start	3	110	tickets/core/269_portAlignmendIsIgnored.elkt	-	0	-
end	3	110	tickets/core/269_portAlignmendIsIgnored.elkt	ok	0	-
start	4	110	tickets/core/296_undefinedExternalPortSides.elkt	-	0	-
end	4	110	tickets/core/296_undefinedExternalPortSides.elkt	ok	0	-
start	5	110	tickets/core/299_surroundingPortSpace.elkt	-	0	-
end	5	110	tickets/core/299_surroundingPortSpace.elkt	ok	0	-
start	6	110	tickets/core/405_wrongPortPositions.elkt	-	0	-
end	6	110	tickets/core/405_wrongPortPositions.elkt	ok	0	-
start	7	110	tickets/core/457_boxLayouterIgnoresMinimumSize.elkt	-	0	-
end	7	110	tickets/core/457_boxLayouterIgnoresMinimumSize.elkt	ok	0	-
start	8	110	tickets/core/475_fixedLayoutWithLongLabels.elkt	-	0	-
end	8	110	tickets/core/475_fixedLayoutWithLongLabels.elkt	ok	0	-
start	9	110	tickets/core/489_paddingAndMinSize_Large.elkt	-	0	-
end	9	110	tickets/core/489_paddingAndMinSize_Large.elkt	ok	0	-
start	10	110	tickets/core/489_paddingAndMinSize_Small.elkt	-	0	-
end	10	110	tickets/core/489_paddingAndMinSize_Small.elkt	ok	0	-
start	11	110	tickets/core/491_portSpacing.elkt	-	0	-
end	11	110	tickets/core/491_portSpacing.elkt	ok	1	-
start	12	110	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	-	0	-
end	12	110	tickets/core/562_insideSelfLoopAlgorithmResolving.elkt	ok	0	-
start	13	110	tickets/layered/040_includeChildrenWithFixedOrder.elkt	-	0	-
end	13	110	tickets/layered/040_includeChildrenWithFixedOrder.elkt	ok	0	-
start	14	110	tickets/layered/079_selfLoopLabels.elkt	-	0	-
end	14	110	tickets/layered/079_selfLoopLabels.elkt	ok	0	-
start	15	110	tickets/layered/082_unfortunateEdgeLabelSideSelection.elkt	-	0	-
end	15	110	tickets/layered/082_unfortunateEdgeLabelSideSelection.elkt	ok	1	-
start	16	110	tickets/layered/128_selfLoopLabelSpacing_complex.elkt	-	0	-
end	16	110	tickets/layered/128_selfLoopLabelSpacing_complex.elkt	ok	0	-
